"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12"
"Q1",0,0.391304347826087,0.818181818181818,0.571428571428571,0.733333333333333,0.727272727272727,0.56,0.692307692307692,0.739130434782609,0.857142857142857,0.727272727272727,0.863636363636364
"Q2",0.391304347826087,0,0.80952380952381,0.84,0.52,0.714285714285714,0.478260869565217,0.68,0.88,0.85,0.65,0.857142857142857
"Q3",0.818181818181818,0.80952380952381,0,0.714285714285714,0.761904761904762,0.933333333333333,0.736842105263158,0.777777777777778,0.785714285714286,0.8,1,0.818181818181818
"Q4",0.571428571428571,0.84,0.714285714285714,0,0.888888888888889,0.75,0.727272727272727,0.818181818181818,0.6875,0.666666666666667,0.888888888888889,0.866666666666667
"Q5",0.733333333333333,0.52,0.761904761904762,0.888888888888889,0,0.833333333333333,0.56,0.64,0.84,0.857142857142857,0.727272727272727,0.80952380952381
"Q6",0.727272727272727,0.714285714285714,0.933333333333333,0.75,0.833333333333333,0,0.869565217391304,0.736842105263158,0.8125,0.833333333333333,0.8,0.75
"Q7",0.56,0.478260869565217,0.736842105263158,0.727272727272727,0.56,0.869565217391304,0,0.72,0.826086956521739,0.9,0.555555555555556,0.904761904761905
"Q8",0.692307692307692,0.68,0.777777777777778,0.818181818181818,0.64,0.736842105263158,0.72,0,0.611111111111111,0.947368421052632,0.736842105263158,0.95
"Q9",0.739130434782609,0.88,0.785714285714286,0.6875,0.84,0.8125,0.826086956521739,0.611111111111111,0,1,0.8125,0.857142857142857
"Q10",0.857142857142857,0.85,0.8,0.666666666666667,0.857142857142857,0.833333333333333,0.9,0.947368421052632,1,0,1,0.777777777777778
"Q11",0.727272727272727,0.65,1,0.888888888888889,0.727272727272727,0.8,0.555555555555556,0.736842105263158,0.8125,1,0,1
"Q12",0.863636363636364,0.857142857142857,0.818181818181818,0.866666666666667,0.80952380952381,0.75,0.904761904761905,0.95,0.857142857142857,0.777777777777778,1,0
